USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  1.2  0.0  23840 13752 ?        Ss   14:51   0:17 /sbin/init 2
root           2  0.0  0.0      0     0 ?        S    14:51   0:00 [kthreadd]
root           3  0.0  0.0      0     0 ?        S    14:51   0:00 [pool_workqueue_release]
root           4  0.0  0.0      0     0 ?        I<   14:51   0:00 [kworker/R-rcu_g]
root           5  0.0  0.0      0     0 ?        I<   14:51   0:00 [kworker/R-rcu_p]
root           6  0.0  0.0      0     0 ?        I<   14:51   0:00 [kworker/R-slub_]
root           7  0.0  0.0      0     0 ?        I<   14:51   0:00 [kworker/R-netns]
root           8  0.0  0.0      0     0 ?        I    14:51   0:00 [kworker/0:0-events]
root           9  0.0  0.0      0     0 ?        I<   14:51   0:00 [kworker/0:0H-events_highpri]
root          11  0.0  0.0      0     0 ?        I    14:51   0:00 [kworker/u28:0-ext4-rsv-conversion]
root          12  0.0  0.0      0     0 ?        I<   14:51   0:00 [kworker/R-mm_pe]
root          13  0.0  0.0      0     0 ?        I    14:51   0:00 [rcu_tasks_kthread]
root          14  0.0  0.0      0     0 ?        I    14:51   0:00 [rcu_tasks_trace_kthread]
root          15  0.0  0.0      0     0 ?        S    14:51   0:00 [ksoftirqd/0]
root          16  0.3  0.0      0     0 ?        S    14:51   0:05 [ktimers/0]
root          17  0.7  0.0      0     0 ?        S<   14:51   0:10 [pr/legacy]
root          18  0.0  0.0      0     0 ?        I    14:51   0:00 [rcu_preempt]
root          19  0.0  0.0      0     0 ?        I    14:51   0:00 [rcuog/0]
root          20  0.0  0.0      0     0 ?        S    14:51   0:00 [rcuop/0]
root          21  0.0  0.0      0     0 ?        S    14:51   0:00 [rcub/0]
root          22  0.0  0.0      0     0 ?        S    14:51   0:00 [rcuc/0]
root          23  0.1  0.0      0     0 ?        S    14:51   0:01 [migration/0]
root          24  0.0  0.0      0     0 ?        S    14:51   0:00 [irq_work/0]
root          25  0.0  0.0      0     0 ?        S    14:51   0:00 [cpuhp/0]
root          26  0.0  0.0      0     0 ?        S    14:51   0:00 [cpuhp/1]
root          27  0.0  0.0      0     0 ?        S    14:51   0:00 [irq_work/1]
root          28  0.0  0.0      0     0 ?        S    14:51   0:00 [migration/1]
root          29  0.0  0.0      0     0 ?        S    14:51   0:00 [rcuc/1]
root          30  0.5  0.0      0     0 ?        S    14:51   0:08 [ktimers/1]
root          31  0.0  0.0      0     0 ?        S    14:51   0:00 [ksoftirqd/1]
root          33  0.0  0.0      0     0 ?        I<   14:51   0:00 [kworker/1:0H-kblockd]
root          34  0.0  0.0      0     0 ?        S    14:51   0:00 [rcuop/1]
